,x1,x2,x3,x4,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101
model23,0.5,135,395,120,8.1407,200.64,13.638,167.202,3.7156,2.8801,10.1123,-1.0338,1.9536,1.8411,5.3875,0.0045,424.36,417.61,43343,3342.916,49.903,4.343,0.0003,0.0659,-0.0261,0.026,-0.0287,0.0284,-0.0577,0.0644,3.0019,3.0069,2.976,3.0084,31.8835,31.8847,31.8832,31.8835,9.5914,9.5893,9.5902,9.5899,7.4647,7.462,7.4649,7.465,6.8222,6.8201,6.8222,6.8225,4.616,0.0011,4.6134,0.0009,4.6154,0.0012,4.6157,0.0012,4.615,0.001,4.6141,0.0009,4.6154,0.0011,4.6155,0.0011,4.4009,0.0034,4.4064,0.0027,4.4013,0.0033,4.4037,0.0035,4.3797,0.0009,4.3851,0.0015,4.3849,0.0016,4.3846,0.0013,4.4086,0.0038,4.4149,0.0036,4.4117,0.0046,4.4108,0.004,4.3804,0.0011,4.3812,0.0012,4.3811,0.001,4.3802,0.001,0.0082,0.0059,0.0081,0.008,0.0028,0.0031,0.0034,0.003
model24,0.25,125,385,80,7.199,209.74,11.351,200.835,3.6933,2.8806,10.1587,-0.5639,2.2544,1.7175,5.4873,0.0061,423.95,415.2,79691,5858.554,46.63,3.6838,0.0004,0.0886,-0.0335,0.033,-0.0332,0.0332,-0.0737,0.0877,2.6854,2.6916,2.6721,2.6918,31.8421,31.8445,31.8426,31.8425,9.5793,9.577,9.5785,9.5784,7.4573,7.4548,7.4577,7.4577,6.8196,6.8171,6.82,6.8198,4.6174,0.0013,4.6137,0.0011,4.6169,0.0013,4.6164,0.0013,4.6164,0.001,4.6148,0.001,4.6179,0.0011,4.6177,0.0011,4.4025,0.004,4.4113,0.0035,4.404,0.0039,4.4057,0.0041,4.3703,0.0008,4.3704,0.0011,4.3725,0.0011,4.3727,0.001,4.4086,0.0041,4.4132,0.0039,4.4115,0.0048,4.4103,0.0041,4.3748,0.0013,4.3747,0.0012,4.3746,0.0011,4.3738,0.0011,0.0099,0.0075,0.0096,0.0093,0.0032,0.002,0.0029,0.0026
model25,0.75,125,375,100,7.5567,234.66,13.487,234.658,3.7099,2.9016,9.1361,-1.2774,1.7196,1.4305,5.435,0.0049,408.84,401.81,37014,2657.027,43.506,4.0181,0.0003,0.079,-0.0265,0.0276,-0.0275,0.0265,-0.0618,0.0768,3.0509,3.0391,3.0069,3.0638,31.8685,31.8664,31.8652,31.8658,9.5879,9.5865,9.5867,9.5874,7.4607,7.4564,7.4603,7.4597,6.8171,6.8157,6.8162,6.8159,4.6137,0.001,4.6124,0.0008,4.6133,0.0011,4.6129,0.001,4.6136,0.0009,4.613,0.0008,4.6123,0.001,4.612,0.001,4.3896,0.0023,4.3902,0.0016,4.3903,0.0025,4.3906,0.0027,4.3813,0.0006,4.384,0.0012,4.3803,0.0009,4.3787,0.0009,4.406,0.0034,4.4098,0.0035,4.4074,0.0041,4.4046,0.0035,4.3862,0.0014,4.387,0.0016,4.3849,0.0012,4.3841,0.0013,0.0068,0.006,0.0066,0.007,0.0043,0.0048,0.0049,0.0048
model26,0.25,165,385,80,9.7553,204.81,11.472,196.298,3.6928,2.8487,10.1507,-0.2372,2.7848,2.0793,5.5294,0.0053,425.6,414.74,78477,5433.889,66.992,5.4228,0.0004,0.0859,-0.0332,0.0327,-0.0318,0.0319,-0.0745,0.0842,3.3416,3.2845,3.2761,3.3203,31.8436,31.845,31.843,31.8433,9.5795,9.5769,9.5785,9.5786,7.4572,7.4544,7.4573,7.4573,6.8148,6.813,6.815,6.8147,4.6082,0.0009,4.6066,0.0007,4.6078,0.001,4.6072,0.0009,4.6077,0.0009,4.6062,0.0007,4.6083,0.0009,4.6076,0.0009,4.4025,0.0037,4.4096,0.0033,4.4036,0.0038,4.4052,0.004,4.3631,0.0005,4.3629,0.0007,4.3644,0.0007,4.3642,0.0006,4.405,0.0038,4.41,0.0037,4.4075,0.0045,4.4056,0.0038,4.369,0.0009,4.3686,0.0009,4.3687,0.0007,4.3676,0.0008,0.0084,0.0063,0.0084,0.0078,0.0026,0.0018,0.0022,0.002
model27,0.25,165,375,100,9.7823,238.71,14.13,208.865,3.7134,2.8643,9.673,-0.8225,2.2806,1.9966,5.4583,0.0038,420.93,408.46,99629,5752.905,64.6,5.3945,0.0003,0.0642,-0.0259,0.0254,-0.0259,0.0258,-0.058,0.0628,3.1725,3.139,3.115,3.156,31.8818,31.8831,31.8817,31.8821,9.5913,9.5883,9.5906,9.5907,7.4644,7.462,7.4644,7.4644,6.82,6.8183,6.8203,6.8199,4.6101,0.0009,4.6092,0.0007,4.6098,0.001,4.6094,0.0009,4.6097,0.001,4.6088,0.0008,4.6104,0.001,4.6093,0.0009,4.4039,0.0037,4.412,0.0031,4.4042,0.0038,4.4062,0.0039,4.366,0.0006,4.3657,0.0008,4.367,0.0008,4.3671,0.0007,4.4051,0.0037,4.4115,0.0035,4.4074,0.0044,4.4052,0.0037,4.372,0.0008,4.3716,0.0008,4.3718,0.0007,4.3707,0.0007,0.008,0.0053,0.0076,0.0069,0.0025,0.0023,0.0021,0.002
model28,0.5,150,395,90,8.762,161.74,10.428,161.739,3.6872,2.8603,10.4844,-0.1694,2.6731,1.9284,5.5161,0.0062,424.72,418.23,41922,3192.781,57.429,4.7972,0.0004,0.0945,-0.036,0.035,-0.037,0.0364,-0.08,0.0924,3.298,3.3053,3.261,3.3057,31.8317,31.8338,31.8314,31.832,9.5751,9.5739,9.5741,9.5742,7.4549,7.4517,7.4549,7.4551,6.8144,6.812,6.8141,6.8139,4.611,0.001,4.6081,0.0008,4.6106,0.0011,4.6103,0.001,4.6104,0.0009,4.6085,0.0008,4.6102,0.001,4.6098,0.001,4.4007,0.0037,4.4045,0.0032,4.4005,0.0035,4.402,0.0036,4.3694,0.0008,4.3715,0.001,4.3738,0.0011,4.3735,0.001,4.4073,0.004,4.4112,0.0037,4.4094,0.0047,4.4084,0.004,4.3723,0.0011,4.3724,0.0011,4.3724,0.0009,4.3714,0.0009,0.0088,0.007,0.0089,0.0085,0.0027,0.002,0.0028,0.0024
model29,0.5,150,385,120,8.9963,225.39,14.652,187.828,3.7232,2.8792,9.7604,-1.1942,1.8769,1.86,5.3804,0.0035,418.29,410.77,41935,3255.854,54.926,4.8613,0.0002,0.0568,-0.0233,0.0225,-0.0251,0.0249,-0.0514,0.0556,3.164,3.1469,3.1272,3.1535,31.8985,31.8994,31.8978,31.8984,9.5966,9.5943,9.5955,9.5955,7.4669,7.4644,7.4671,7.4671,6.8227,6.8205,6.8225,6.8226,4.6142,0.001,4.6122,0.0007,4.6132,0.0011,4.6133,0.0011,4.6131,0.001,4.6122,0.0009,4.6137,0.0011,4.6131,0.001,4.4006,0.0033,4.4066,0.0027,4.4006,0.0033,4.4026,0.0033,4.3753,0.0005,4.3772,0.0011,4.3794,0.0011,4.3795,0.0008,4.4049,0.0035,4.4118,0.0034,4.4083,0.0043,4.4066,0.0036,4.378,0.0009,4.3784,0.0011,4.3788,0.0008,4.3777,0.0008,0.0071,0.0048,0.0069,0.0067,0.0024,0.0031,0.0029,0.0026
model30,0.25,165,395,120,10.4224,215.11,15.416,179.259,3.7308,2.8454,10.0525,-1.14,2.2879,2.4587,5.1629,0.0026,430.94,421.82,70934,5293.454,68.33,5.78,0.0004,0.0453,-0.0191,0.0189,-0.0199,0.0203,-0.0433,0.0445,3.2943,3.2474,3.2404,3.2844,31.9151,31.9162,31.9148,31.9152,9.6023,9.5991,9.6014,9.6014,7.4695,7.4674,7.4697,7.4697,6.8248,6.823,6.8249,6.8248,4.6126,0.0009,4.6118,0.0007,4.6117,0.001,4.6117,0.001,4.6117,0.0011,4.6109,0.0008,4.6124,0.001,4.6114,0.001,4.4015,0.0033,4.4102,0.0027,4.4021,0.0035,4.4043,0.0036,4.3714,0.0006,4.3714,0.0009,4.373,0.0008,4.3734,0.0008,4.4021,0.0033,4.4098,0.0033,4.4057,0.0042,4.4035,0.0035,4.3768,0.0008,4.3769,0.001,4.3773,0.0008,4.3762,0.0007,0.0067,0.0039,0.0061,0.0056,0.0022,0.0028,0.0023,0.0023
model31,0.25,165,385,100,10.0069,204.81,13.749,196.298,3.7136,2.8555,9.8928,-0.7577,2.3982,2.1398,5.4533,0.0038,424.52,414.85,78477,5439.108,66.452,5.5194,0.0001,0.0637,-0.0257,0.0255,-0.0255,0.0257,-0.0577,0.0624,3.2503,3.2286,3.1846,3.2421,31.8827,31.884,31.8821,31.883,9.5916,9.5887,9.5906,9.591,7.4643,7.4619,7.4645,7.4644,6.8199,6.818,6.8197,6.8199,4.6099,0.0009,4.6088,0.0007,4.6089,0.001,4.6094,0.0009,4.6095,0.001,4.6083,0.0008,4.6096,0.001,4.6094,0.0009,4.403,0.0036,4.411,0.003,4.404,0.0037,4.4054,0.0038,4.3674,0.0006,4.3673,0.0008,4.3688,0.0008,4.3687,0.0007,4.4046,0.0036,4.411,0.0035,4.4078,0.0044,4.405,0.0036,4.3732,0.0008,4.3729,0.0009,4.3733,0.0007,4.372,0.0007,0.0078,0.0051,0.0074,0.0067,0.0024,0.0023,0.0022,0.002
model32,0.75,135,395,120,8.2521,197.71,13.066,164.758,3.7106,2.8836,9.974,-0.9698,1.9701,1.7298,5.4549,0.0048,419.06,413.3,35713,2617.632,49.487,4.4759,0.0003,0.0742,-0.027,0.0276,-0.0301,0.0296,-0.0614,0.0719,3.2223,3.2241,3.1826,3.2298,31.8724,31.8721,31.8714,31.8716,9.5873,9.5854,9.5868,9.5869,7.4622,7.4591,7.4622,7.4619,6.818,6.8168,6.8177,6.8173,4.6125,0.001,4.6116,0.0008,4.6123,0.0011,4.6117,0.0011,4.6122,0.0009,4.6117,0.0009,4.6117,0.0011,4.611,0.001,4.397,0.0029,4.4006,0.0023,4.3967,0.0031,4.3978,0.0032,4.384,0.001,4.3895,0.0015,4.3859,0.0014,4.3849,0.001,4.409,0.0037,4.4149,0.0037,4.4112,0.0045,4.4091,0.0038,4.3832,0.0012,4.386,0.0015,4.3843,0.0012,4.383,0.0012,0.0075,0.006,0.0075,0.0074,0.0038,0.0043,0.0046,0.0042
model33,0.25,125,395,100,7.4792,185.08,13.266,185.083,3.7127,2.8795,10.2826,-0.9742,1.9992,1.8798,5.4199,0.0049,428.74,421.44,72286,5577.513,47.178,3.8432,0.0002,0.0678,-0.0273,0.0271,-0.0276,0.0275,-0.0593,0.067,2.6996,2.6938,2.6757,2.7027,31.8786,31.8809,31.8788,31.8786,9.5904,9.5878,9.5895,9.5893,7.4642,7.462,7.4645,7.4645,6.8248,6.8223,6.8253,6.8254,4.6191,0.0013,4.616,0.001,4.6186,0.0014,4.6187,0.0013,4.618,0.0011,4.6161,0.0011,4.6198,0.0012,4.6198,0.0012,4.4039,0.0039,4.4133,0.0033,4.4051,0.0039,4.4069,0.004,4.3751,0.0007,4.3752,0.001,4.3776,0.0011,4.3781,0.001,4.4092,0.004,4.4153,0.0038,4.4125,0.0048,4.4113,0.0041,4.3797,0.0012,4.3797,0.0012,4.3798,0.0011,4.3789,0.0011,0.0094,0.0067,0.009,0.0088,0.0031,0.0021,0.0028,0.0025
model34,0.25,165,375,80,9.5397,238.71,11.716,208.865,3.6918,2.8608,9.9699,-0.3011,2.6215,1.8608,5.5272,0.0053,422.88,408.5,99629,5751.332,65.192,5.2933,0.0008,0.0871,-0.0336,0.0332,-0.0322,0.0322,-0.0751,0.0851,3.2316,3.175,3.1624,3.2234,31.8419,31.8431,31.8411,31.8414,9.5788,9.5761,9.5777,9.5777,7.4572,7.4543,7.4572,7.4572,6.8142,6.8127,6.8144,6.8139,4.6074,0.0009,4.6066,0.0007,4.6071,0.001,4.6062,0.0009,4.607,0.0009,4.6059,0.0008,4.6075,0.0009,4.6065,0.0009,4.4034,0.0039,4.4107,0.0034,4.4047,0.004,4.4064,0.004,4.3617,0.0005,4.3613,0.0007,4.3627,0.0007,4.3626,0.0006,4.4057,0.0039,4.4106,0.0037,4.4081,0.0046,4.4063,0.0039,4.3678,0.0008,4.3672,0.0008,4.3674,0.0006,4.3663,0.0007,0.0088,0.0065,0.0087,0.008,0.0027,0.0017,0.0023,0.0022
model35,0.75,150,385,90,8.7865,188.49,11.177,188.486,3.692,2.8752,9.8445,-0.4147,2.3955,1.7025,5.5073,0.0057,413.0,406.71,33877,2394.927,55.474,4.8935,0.0001,0.0921,-0.0336,0.0336,-0.0365,0.0364,-0.0761,0.0899,3.4223,3.4227,3.3915,3.4261,31.8381,31.8389,31.8381,31.8388,9.576,9.5749,9.5761,9.5762,7.4562,7.4525,7.4559,7.4559,6.8125,6.8109,6.8115,6.8117,4.6093,0.0009,4.6075,0.0007,4.6081,0.001,4.6084,0.0009,4.6086,0.0008,4.6077,0.0008,4.6074,0.0009,4.6074,0.0009,4.3998,0.0032,4.4019,0.0028,4.3982,0.0033,4.3998,0.0034,4.3758,0.0012,4.3808,0.0014,4.3789,0.0014,4.3787,0.0011,4.4084,0.0039,4.4119,0.0038,4.4093,0.0046,4.408,0.0039,4.3741,0.001,4.3751,0.0012,4.3743,0.0009,4.3733,0.0009,0.008,0.0067,0.0082,0.008,0.0026,0.0029,0.0034,0.0031
model36,0.75,135,375,100,7.9821,228.64,13.176,228.635,3.7079,2.8968,9.1853,-1.0958,1.8229,1.441,5.4646,0.0049,407.52,401.24,35641,2600.708,46.599,4.3187,0.0002,0.0794,-0.0276,0.0281,-0.0292,0.0292,-0.0633,0.077,3.1582,3.1554,3.1222,3.1659,31.8651,31.8637,31.8635,31.8639,9.5861,9.585,9.586,9.5862,7.4603,7.4561,7.4599,7.4596,6.8158,6.8145,6.8154,6.8152,4.6121,0.001,4.6112,0.0007,4.6123,0.001,4.6119,0.001,4.6123,0.0009,4.6116,0.0008,4.6114,0.0009,4.611,0.0009,4.3927,0.0026,4.3939,0.0021,4.3913,0.0028,4.3926,0.0029,4.3816,0.0009,4.385,0.0013,4.3824,0.0012,4.3816,0.0009,4.4059,0.0035,4.4095,0.0035,4.407,0.0041,4.405,0.0035,4.3817,0.0012,4.3839,0.0014,4.3832,0.0012,4.3818,0.0013,0.007,0.0059,0.0069,0.007,0.0036,0.0044,0.0047,0.0044
model37,0.5,165,375,120,10.1626,251.18,15.358,209.32,3.7265,2.8772,9.1692,-1.2713,1.8679,1.8396,5.3492,0.0028,412.73,403.79,40778,3217.181,63.359,5.6569,0.0001,0.0519,-0.0209,0.0206,-0.0225,0.0222,-0.047,0.0509,3.3952,3.3603,3.3184,3.3648,31.9054,31.9069,31.905,31.9055,9.5996,9.5972,9.5984,9.5985,7.4675,7.4652,7.4678,7.4677,6.8217,6.8191,6.8213,6.8211,4.6113,0.0008,4.6088,0.0007,4.6102,0.0009,4.61,0.0009,4.6104,0.001,4.6087,0.0008,4.6102,0.001,4.6091,0.001,4.3991,0.0031,4.4062,0.0026,4.3992,0.0032,4.4012,0.0032,4.3716,0.0006,4.372,0.0009,4.375,0.0009,4.3753,0.0007,4.4011,0.0033,4.4081,0.0031,4.405,0.0041,4.4027,0.0034,4.3752,0.0007,4.3752,0.0009,4.376,0.0008,4.3748,0.0006,0.0062,0.0037,0.006,0.0056,0.0023,0.0031,0.0025,0.0023
model38,0.5,150,375,100,8.7162,213.41,13.393,213.409,3.7095,2.882,9.5225,-0.8838,2.0526,1.6993,5.4628,0.0045,414.27,404.46,42297,3346.881,53.907,4.7086,0.0003,0.0718,-0.0282,0.0273,-0.0297,0.0294,-0.0625,0.0701,3.1034,3.0971,3.0764,3.103,31.8719,31.8736,31.8715,31.8721,9.5877,9.5861,9.5868,9.587,7.4625,7.4596,7.4626,7.4627,6.8194,6.8166,6.8188,6.8187,4.6133,0.0009,4.6098,0.0007,4.6117,0.0011,4.6116,0.001,4.6125,0.0009,4.6104,0.0009,4.612,0.001,4.6115,0.0009,4.4015,0.0036,4.4061,0.0029,4.4011,0.0034,4.4028,0.0035,4.3724,0.0006,4.3743,0.001,4.377,0.0011,4.3766,0.0009,4.407,0.0038,4.4121,0.0035,4.4097,0.0045,4.4081,0.0038,4.3749,0.0009,4.3749,0.001,4.3756,0.0008,4.3745,0.0008,0.008,0.0058,0.0078,0.0076,0.0026,0.0027,0.0027,0.0023
model39,0.75,165,375,90,9.9823,208.23,11.802,208.225,3.6963,2.8709,9.8635,-0.4671,2.4053,1.7238,5.5315,0.005,407.76,401.31,33254,2345.086,64.75,5.6638,0.0003,0.0862,-0.0321,0.0316,-0.0339,0.0343,-0.0724,0.0847,3.6834,3.6414,3.6117,3.6649,31.8467,31.8484,31.8463,31.8471,9.5795,9.5779,9.5793,9.5794,7.4572,7.4542,7.457,7.4571,6.8116,6.81,6.8109,6.8108,4.6065,0.0007,4.6048,0.0005,4.6052,0.0008,4.6049,0.0008,4.6057,0.0008,4.6048,0.0006,4.6051,0.0008,4.6046,0.0007,4.3997,0.0033,4.4043,0.0029,4.3987,0.0034,4.4003,0.0034,4.3694,0.0006,4.3716,0.0011,4.3732,0.0011,4.3726,0.0008,4.4046,0.0037,4.4093,0.0035,4.4061,0.0044,4.4047,0.0037,4.3703,0.0009,4.3703,0.0009,4.3705,0.0007,4.3694,0.0007,0.0074,0.0055,0.0076,0.0072,0.0023,0.0023,0.0027,0.0024
model40,0.5,135,395,100,7.9622,167.2,11.707,167.202,3.699,2.8746,10.1619,-0.6011,2.2669,1.8055,5.4908,0.0057,424.36,417.65,43343,3277.827,50.123,4.2794,0.0002,0.0836,-0.0322,0.0318,-0.0342,0.0339,-0.0712,0.0817,3.0352,3.0454,3.0076,3.0413,31.8523,31.8538,31.8522,31.8525,9.5813,9.5796,9.5802,9.5798,7.459,7.456,7.4592,7.4593,6.8183,6.8159,6.8183,6.8183,4.6144,0.0011,4.6115,0.0009,4.6142,0.0012,4.6141,0.0011,4.6137,0.001,4.6119,0.0009,4.614,0.0011,4.614,0.001,4.4008,0.0036,4.4053,0.0029,4.4012,0.0035,4.4034,0.0036,4.3768,0.001,4.3814,0.0014,4.3817,0.0016,4.3818,0.0014,4.4096,0.004,4.4146,0.0038,4.412,0.0048,4.4115,0.0041,4.3772,0.0012,4.3778,0.0012,4.3775,0.001,4.3767,0.0011,0.0089,0.007,0.009,0.0087,0.0028,0.0026,0.0033,0.0029
model41,0.5,165,375,100,9.992,209.32,13.175,209.32,3.7083,2.8701,9.5755,-0.7734,2.2562,1.8381,5.4558,0.0041,412.73,403.84,40778,3178.951,64.205,5.5541,0.0002,0.0719,-0.0281,0.0272,-0.0289,0.0285,-0.0631,0.0705,3.4105,3.4022,3.3674,3.4049,31.8703,31.8714,31.8699,31.8703,9.588,9.5858,9.5868,9.587,7.4615,7.459,7.4618,7.4617,6.8165,6.8139,6.8163,6.816,4.6088,0.0008,4.606,0.0006,4.6081,0.0009,4.6077,0.0009,4.6081,0.0009,4.6062,0.0008,4.6081,0.0009,4.6071,0.0008,4.3998,0.0034,4.4064,0.0029,4.4001,0.0033,4.4016,0.0034,4.3683,0.0005,4.3687,0.0009,4.3718,0.0008,4.372,0.0006,4.4033,0.0036,4.4096,0.0034,4.4066,0.0043,4.4044,0.0036,4.3717,0.0008,4.3717,0.0009,4.3722,0.0006,4.3711,0.0007,0.007,0.005,0.0069,0.0066,0.0023,0.0025,0.0022,0.0019
model42,0.5,125,385,120,7.6333,238.55,14.914,198.793,3.7257,2.897,9.1958,-1.4647,1.5411,1.5835,5.2696,0.004,419.99,411.85,43644,3487.283,44.758,3.9764,0.0002,0.0577,-0.023,0.0228,-0.0247,0.0243,-0.0493,0.0562,2.8313,2.8432,2.8079,2.8458,31.8997,31.9009,31.8994,31.8998,9.5974,9.5949,9.5965,9.5961,7.4668,7.4646,7.4672,7.4672,6.8242,6.8223,6.8242,6.8242,4.618,0.0011,4.6158,0.0009,4.6179,0.0012,4.6178,0.0011,4.6172,0.001,4.6164,0.0009,4.6175,0.0011,4.6171,0.0011,4.3969,0.0032,4.4033,0.0023,4.3974,0.003,4.3997,0.0032,4.3857,0.0012,4.3889,0.0015,4.387,0.0014,4.3877,0.0011,4.4061,0.0035,4.4135,0.0035,4.4094,0.0043,4.4083,0.0037,4.3834,0.0012,4.3848,0.0013,4.3841,0.001,4.3832,0.0011,0.0075,0.0051,0.0072,0.0071,0.0034,0.0038,0.0041,0.0038
model43,0.75,150,395,100,8.8906,159.1,10.96,159.095,3.6922,2.8669,10.1697,-0.3378,2.4654,1.7865,5.5102,0.0057,417.9,412.58,34225,2378.678,56.711,4.9676,0.0002,0.0914,-0.0335,0.0336,-0.0367,0.0367,-0.0758,0.0893,3.498,3.4989,3.4452,3.4984,31.8393,31.8402,31.839,31.8398,9.5765,9.575,9.5763,9.5764,7.4562,7.4528,7.4561,7.456,6.8129,6.8109,6.812,6.8118,4.6093,0.0009,4.6069,0.0007,4.6078,0.001,4.6075,0.0009,4.6084,0.0008,4.6069,0.0008,4.6074,0.0009,4.607,0.0009,4.3997,0.0033,4.4029,0.0028,4.3989,0.0034,4.4001,0.0035,4.3765,0.0012,4.3814,0.0014,4.3798,0.0015,4.3793,0.0012,4.4083,0.004,4.4124,0.0038,4.4098,0.0046,4.408,0.0039,4.3747,0.0011,4.3755,0.0012,4.3747,0.0009,4.3738,0.001,0.0082,0.0067,0.0083,0.0081,0.0028,0.0028,0.0034,0.0031
model44,0.25,165,385,90,9.895,204.81,12.635,196.298,3.7042,2.851,10.0345,-0.5479,2.6062,2.1429,5.4974,0.0044,425.23,414.75,78477,5433.889,66.718,5.5113,0.0004,0.074,-0.0294,0.0287,-0.0285,0.0288,-0.0659,0.0726,3.2847,3.2554,3.2453,3.2765,31.8645,31.8653,31.8639,31.8643,9.5859,9.5828,9.5849,9.5851,7.461,7.4585,7.4611,7.4611,6.8175,6.8158,6.8176,6.8176,4.6091,0.0009,4.608,0.0006,4.6084,0.001,4.6087,0.0009,4.6088,0.001,4.6076,0.0007,4.609,0.001,4.6088,0.0009,4.4029,0.0036,4.411,0.0032,4.4038,0.0038,4.4056,0.0039,4.3651,0.0005,4.365,0.0008,4.3665,0.0008,4.3664,0.0006,4.4047,0.0037,4.4111,0.0036,4.4076,0.0045,4.4055,0.0037,4.3709,0.0008,4.3708,0.0009,4.3709,0.0006,4.3698,0.0007,0.008,0.0058,0.0078,0.0072,0.0025,0.0021,0.0022,0.002
model45,0.75,165,375,100,10.0984,208.23,12.778,208.225,3.7057,2.8755,9.5587,-0.7122,2.2207,1.743,5.4495,0.0043,407.76,401.06,33254,2365.605,63.882,5.7228,0.0003,0.0766,-0.0286,0.0282,-0.0306,0.0312,-0.0648,0.0752,3.649,3.639,3.6116,3.6453,31.8637,31.8653,31.8634,31.864,9.5854,9.5834,9.5851,9.5851,7.4601,7.4573,7.46,7.46,6.8133,6.8117,6.8126,6.8126,4.6066,0.0007,4.605,0.0006,4.6052,0.0008,4.6051,0.0008,4.6057,0.0008,4.6049,0.0007,4.6053,0.0009,4.6047,0.0008,4.3989,0.0031,4.4044,0.0027,4.3979,0.0032,4.3999,0.0033,4.371,0.0006,4.3731,0.0011,4.3746,0.0011,4.3742,0.0007,4.4033,0.0036,4.4089,0.0034,4.405,0.0042,4.4036,0.0036,4.372,0.0008,4.3721,0.0009,4.3724,0.0006,4.3713,0.0007,0.0069,0.0049,0.007,0.0067,0.0022,0.0026,0.0027,0.0024
model46,0.25,150,395,80,8.5932,181.55,10.766,181.551,3.6891,2.8534,10.6057,-0.181,2.7535,2.0617,5.519,0.0059,430.78,421.71,71859,5374.362,57.76,4.6529,0.0004,0.091,-0.0349,0.0342,-0.0334,0.0334,-0.0775,0.0896,3.1469,3.1326,3.1058,3.1446,31.8358,31.8379,31.8359,31.8359,9.5775,9.5753,9.5766,9.5767,7.4557,7.4531,7.4561,7.456,6.8162,6.8142,6.8169,6.8167,4.6114,0.0012,4.6096,0.0009,4.6122,0.0012,4.6117,0.0011,4.6115,0.0009,4.6096,0.0009,4.6129,0.001,4.6125,0.001,4.4015,0.0039,4.4092,0.0034,4.4033,0.0039,4.4044,0.004,4.3662,0.0006,4.366,0.0008,4.368,0.0008,4.3682,0.0008,4.406,0.004,4.4106,0.0038,4.4086,0.0047,4.4072,0.0039,4.3716,0.001,4.3714,0.001,4.3715,0.0009,4.3705,0.0009,0.0093,0.0072,0.009,0.0086,0.0028,0.0018,0.0025,0.0022
model47,0.75,165,395,80,10.0839,150.95,8.6308,150.951,3.6682,2.8483,10.6887,0.2866,3.1157,1.9122,5.5181,0.0066,418.34,412.91,32582,2240.489,69.325,5.7452,0.0021,0.1131,-0.0402,0.039,-0.0418,0.0419,-0.0925,0.1105,3.8296,3.8283,3.7838,3.8292,31.7987,31.8003,31.7988,31.7995,9.5646,9.5637,9.5645,9.5646,7.4477,7.4441,7.4474,7.4476,6.8058,6.8047,6.8051,6.8051,4.6041,0.0008,4.6023,0.0006,4.6031,0.0009,4.6028,0.0008,4.6035,0.0007,4.6032,0.0006,4.6026,0.0007,4.6026,0.0008,4.3971,0.0033,4.4001,0.003,4.3964,0.0033,4.3977,0.0034,4.3657,0.0008,4.3677,0.001,4.369,0.0011,4.3687,0.0009,4.404,0.0038,4.407,0.0036,4.4044,0.0043,4.4037,0.0038,4.3673,0.001,4.3672,0.001,4.3669,0.0008,4.366,0.0009,0.0079,0.0066,0.0082,0.0076,0.0023,0.0021,0.0028,0.0025
model48,0.25,150,385,100,8.7142,206.72,13.788,199.068,3.7142,2.8697,9.8494,-0.8845,2.1535,1.9449,5.4483,0.0041,424.32,414.66,78782,5533.789,55.365,4.6523,0.0002,0.0646,-0.0259,0.0256,-0.0258,0.026,-0.0573,0.0633,2.9746,2.9546,2.9209,2.9608,31.8827,31.8845,31.8826,31.8826,9.592,9.5891,9.5909,9.5909,7.4646,7.4625,7.4651,7.465,6.8222,6.8198,6.8226,6.8224,4.614,0.0011,4.6116,0.0008,4.6134,0.0012,4.6131,0.0011,4.6132,0.0011,4.6114,0.0009,4.6144,0.0011,4.6137,0.001,4.4033,0.0037,4.4124,0.0032,4.4052,0.0038,4.407,0.0039,4.3704,0.0005,4.3703,0.0009,4.372,0.0008,4.3721,0.0007,4.4064,0.0038,4.4129,0.0036,4.4097,0.0046,4.4079,0.0038,4.3756,0.0009,4.3754,0.001,4.3759,0.0008,4.3747,0.0008,0.0086,0.0058,0.008,0.0077,0.0027,0.0022,0.0022,0.002
