,x1,x2,x3,x4,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101
model11,0.25,150,385,120,8.9074,238.88,16.024,199.068,3.7337,2.8742,9.6325,-1.3716,1.8051,2.0309,5.0436,0.0027,424.27,414.71,83165,5554.205,55.089,4.7328,0.0006,0.0442,-0.0188,0.0184,-0.0195,0.02,-0.0415,0.0429,2.9384,2.9267,2.9056,2.9317,31.9187,31.9196,31.9186,31.9188,9.6038,9.6002,9.6027,9.6026,7.4706,7.4688,7.471,7.471,6.8265,6.8243,6.8268,6.8267,4.6151,0.0011,4.6136,0.0008,4.6147,0.0012,4.6146,0.0011,4.6145,0.0011,4.6132,0.0009,4.6157,0.0011,4.6147,0.001,4.4026,0.0034,4.4123,0.0029,4.4039,0.0036,4.4062,0.0037,4.3735,0.0005,4.3734,0.0009,4.375,0.0009,4.3754,0.0007,4.4037,0.0034,4.412,0.0034,4.4074,0.0043,4.4056,0.0036,4.3783,0.0008,4.3785,0.0009,4.3789,0.0008,4.3778,0.0007,0.0074,0.0045,0.0067,0.0064,0.0024,0.0027,0.0023,0.0022
model12,0.5,125,385,100,7.4851,198.79,13.007,198.793,3.7084,2.8913,9.718,-1.0058,1.8887,1.6237,5.4506,0.0052,419.99,411.86,43644,3449.932,45.433,3.9062,0.0004,0.0751,-0.0291,0.0289,-0.031,0.0306,-0.0637,0.0737,2.8546,2.8593,2.8286,2.8584,31.8686,31.8693,31.8686,31.8684,9.5865,9.5842,9.5856,9.5853,7.4617,7.4591,7.462,7.4619,6.8205,6.8186,6.8205,6.8205,4.6161,0.0011,4.6139,0.0009,4.6164,0.0012,4.6163,0.0012,4.6157,0.001,4.6148,0.001,4.6157,0.0011,4.6156,0.0011,4.3986,0.0035,4.4041,0.0026,4.3992,0.0033,4.401,0.0034,4.3832,0.0013,4.3861,0.0015,4.3845,0.0014,4.3848,0.0011,4.4096,0.0039,4.4161,0.0038,4.4125,0.0047,4.4114,0.004,4.3806,0.0012,4.3821,0.0013,4.3812,0.0011,4.3803,0.0012,0.0087,0.0066,0.0084,0.0083,0.0034,0.0032,0.0039,0.0036
model13,0.75,165,385,120,10.3937,215.05,13.813,179.205,3.7167,2.8701,9.762,-0.9368,2.1488,1.9472,5.4183,0.0036,412.5,406.66,32626,2378.727,65.656,5.8985,0.0002,0.0637,-0.0245,0.0243,-0.0269,0.0274,-0.0557,0.0628,3.6707,3.6416,3.5967,3.6679,31.8858,31.8876,31.8857,31.8868,9.5923,9.5901,9.5919,9.592,7.4641,7.4616,7.4641,7.4642,6.8168,6.815,6.816,6.8163,4.6081,0.0008,4.6062,0.0007,4.6061,0.0008,4.6064,0.0008,4.6069,0.0009,4.6059,0.0008,4.6065,0.0009,4.606,0.0009,4.3993,0.003,4.4054,0.0026,4.3985,0.0032,4.4006,0.0033,4.3736,0.0005,4.3759,0.0011,4.3771,0.001,4.377,0.0007,4.4033,0.0035,4.4099,0.0033,4.4056,0.0042,4.4042,0.0035,4.3753,0.0009,4.3755,0.001,4.3758,0.0007,4.3747,0.0008,0.0065,0.0043,0.0066,0.0063,0.0022,0.0031,0.003,0.0027
model14,0.75,135,375,80,7.8393,228.64,10.899,228.635,3.686,2.8857,9.1429,-0.5562,2.2309,1.4255,5.5045,0.0063,408.33,401.65,35641,2563.432,46.988,4.2346,0.0002,0.1014,-0.0348,0.0349,-0.036,0.0355,-0.0796,0.0988,3.1959,3.1892,3.1618,3.1989,31.8263,31.8253,31.825,31.8252,9.5739,9.5734,9.5737,9.5742,7.4527,7.448,7.4523,7.4519,6.8109,6.8096,6.8098,6.8097,4.6108,0.001,4.609,0.0008,4.6103,0.001,4.6099,0.0009,4.611,0.0008,4.6097,0.0008,4.6088,0.0009,4.6088,0.0009,4.3908,0.0026,4.3908,0.0022,4.39,0.0028,4.3904,0.003,4.3765,0.001,4.3798,0.0013,4.3774,0.0012,4.3767,0.001,4.4055,0.0036,4.4073,0.0035,4.4059,0.0041,4.4039,0.0035,4.3774,0.0013,4.379,0.0014,4.3781,0.0013,4.3768,0.0013,0.0077,0.007,0.0077,0.0078,0.0035,0.004,0.0044,0.0042
model15,0.75,125,375,90,7.4678,234.66,12.293,234.658,3.699,2.8981,9.158,-0.9869,1.9044,1.3856,5.481,0.0057,408.84,402.09,37014,2637.054,44.13,3.9761,0.0002,0.0902,-0.0305,0.0313,-0.0309,0.0296,-0.0704,0.0879,3.0518,3.0299,3.001,3.061,31.8489,31.8468,31.8456,31.8462,9.5819,9.5808,9.5805,9.5812,7.4569,7.4523,7.4565,7.4559,6.8145,6.8132,6.8134,6.8132,4.613,0.001,4.6117,0.0008,4.6125,0.0011,4.6123,0.001,4.6133,0.0009,4.6125,0.0008,4.6114,0.001,4.6113,0.001,4.3882,0.0023,4.3879,0.0016,4.3895,0.0025,4.3896,0.0027,4.3793,0.0007,4.3811,0.0012,4.3777,0.0009,4.3762,0.0008,4.4057,0.0035,4.4084,0.0035,4.4068,0.0042,4.4042,0.0035,4.3844,0.0015,4.3848,0.0016,4.3823,0.0013,4.3817,0.0013,0.0072,0.0066,0.0071,0.0074,0.0043,0.0045,0.0046,0.0045
model16,0.5,150,395,80,8.759,161.74,9.3285,161.739,3.6756,2.8571,10.6275,0.091,2.8923,1.935,5.5233,0.0083,423.75,417.85,41922,3159.489,57.873,4.7387,0.0009,0.106,-0.0387,0.0377,-0.0398,0.0391,-0.0875,0.1037,3.3543,3.3604,3.3135,3.3556,31.8115,31.8135,31.8114,31.8117,9.5693,9.5684,9.5683,9.5684,7.4506,7.4471,7.4506,7.4507,6.8111,6.8095,6.8111,6.811,4.6088,0.001,4.6075,0.0008,4.609,0.0011,4.6086,0.001,4.6092,0.0008,4.608,0.0008,4.6093,0.0009,4.6091,0.0009,4.3979,0.0036,4.4012,0.0031,4.398,0.0034,4.3992,0.0034,4.367,0.0008,4.3688,0.001,4.3713,0.0011,4.371,0.001,4.4054,0.0039,4.4086,0.0036,4.4074,0.0045,4.4066,0.0039,4.3701,0.0011,4.3701,0.0011,4.3702,0.001,4.3692,0.001,0.0085,0.007,0.0087,0.0082,0.0027,0.002,0.0027,0.0024
model17,0.25,150,375,90,8.4358,240.38,12.862,210.061,3.7028,2.8748,9.9445,-0.6395,2.2343,1.7709,5.502,0.0049,421.79,408.9,102340,5833.551,54.839,4.4947,0.0002,0.0768,-0.0303,0.0296,-0.0292,0.0297,-0.0667,0.0753,2.9074,2.8908,2.8742,2.9036,31.8613,31.8625,31.8611,31.8613,9.5848,9.5818,9.5837,9.584,7.4611,7.4587,7.4614,7.4613,6.8192,6.8169,6.8195,6.8191,4.6125,0.0011,4.6105,0.0008,4.6119,0.0012,4.6114,0.0011,4.6118,0.001,4.61,0.0009,4.6128,0.001,4.6121,0.001,4.4048,0.004,4.4135,0.0034,4.4067,0.004,4.4082,0.0041,4.3669,0.0005,4.3663,0.0008,4.3679,0.0008,4.368,0.0007,4.4078,0.004,4.4135,0.0038,4.4105,0.0047,4.4084,0.0039,4.3724,0.0009,4.3719,0.0009,4.3721,0.0008,4.3711,0.0008,0.0094,0.0068,0.009,0.0085,0.0029,0.0019,0.0024,0.0022
model18,0.25,150,385,80,8.4958,206.72,11.46,199.068,3.6935,2.8629,10.1374,-0.342,2.5626,1.941,5.5206,0.0056,425.94,414.52,78782,5533.789,56.021,4.5603,0.0002,0.0865,-0.0335,0.0328,-0.0321,0.0323,-0.074,0.0851,3.022,3.0094,2.995,3.0197,31.8442,31.8457,31.844,31.8439,9.5798,9.5772,9.5788,9.5788,7.4575,7.455,7.4578,7.4578,6.8168,6.8148,6.8173,6.817,4.6114,0.0011,4.6097,0.0008,4.6112,0.0012,4.6106,0.0011,4.6107,0.0009,4.609,0.0009,4.612,0.001,4.6114,0.001,4.4028,0.0039,4.4111,0.0034,4.4047,0.0039,4.4062,0.0041,4.3662,0.0006,4.3658,0.0008,4.3677,0.0008,4.3678,0.0007,4.4068,0.004,4.4119,0.0038,4.4093,0.0047,4.4079,0.004,4.3715,0.001,4.3711,0.0009,4.3714,0.0009,4.3703,0.0009,0.0094,0.0071,0.0091,0.0087,0.0029,0.0018,0.0025,0.0023
model19,0.75,135,385,80,7.9738,195.19,10.127,195.191,3.6826,2.8821,9.9968,-0.3387,2.3915,1.5808,5.5026,0.0082,414.42,407.23,35795,2498.797,49.13,4.292,0.0004,0.1039,-0.0359,0.0364,-0.0376,0.0372,-0.0823,0.1017,3.2473,3.2366,3.198,3.2485,31.8218,31.8202,31.8201,31.82,9.5717,9.571,9.5717,9.572,7.4522,7.4474,7.4514,7.451,6.8112,6.8101,6.8105,6.8103,4.6107,0.001,4.6103,0.0008,4.6113,0.001,4.611,0.0009,4.612,0.0008,4.6109,0.0008,4.6101,0.0009,4.61,0.0009,4.393,0.0028,4.3928,0.0023,4.3911,0.0028,4.3916,0.003,4.3771,0.0011,4.3807,0.0014,4.3775,0.0012,4.3767,0.001,4.4072,0.0037,4.4091,0.0037,4.4064,0.0042,4.4045,0.0036,4.3777,0.0014,4.3793,0.0014,4.3777,0.0013,4.3764,0.0013,0.0077,0.0071,0.0079,0.008,0.0036,0.004,0.0043,0.0041
model20,0.5,165,385,80,9.8397,183.09,10.273,183.091,3.6829,2.8547,10.2021,-0.0149,2.8451,1.9177,5.5267,0.006,417.23,410.17,40227,3090.954,67.018,5.5604,0.0006,0.0976,-0.0369,0.036,-0.0367,0.0359,-0.0826,0.0958,3.528,3.516,3.492,3.5174,31.8243,31.8267,31.824,31.8243,9.5733,9.5724,9.5724,9.5725,7.4531,7.4499,7.4532,7.4532,6.811,6.8088,6.8108,6.8108,4.6068,0.0008,4.604,0.0006,4.6058,0.0009,4.6059,0.0009,4.6062,0.0008,4.6044,0.0007,4.6062,0.0008,4.606,0.0008,4.3992,0.0036,4.4043,0.0032,4.3995,0.0035,4.4007,0.0035,4.3642,0.0006,4.3643,0.0008,4.3679,0.0008,4.3679,0.0007,4.4044,0.0039,4.4079,0.0036,4.4065,0.0045,4.4051,0.0038,4.3681,0.0009,4.3676,0.0009,4.3681,0.0007,4.367,0.0008,0.0081,0.0063,0.0082,0.0077,0.0025,0.0017,0.0023,0.002
model21,0.25,135,375,100,7.6554,241.79,13.915,211.832,3.7118,2.8871,9.5676,-1.0114,1.9227,1.6732,5.4345,0.0046,419.9,409.14,103400,6024.416,47.932,3.9642,0.0002,0.0686,-0.0271,0.0266,-0.0269,0.0274,-0.0592,0.0677,2.7044,2.6953,2.6784,2.7101,31.877,31.8789,31.8771,31.8772,9.5899,9.587,9.5892,9.5891,7.4642,7.4621,7.4645,7.4645,6.8233,6.8203,6.8237,6.8234,4.617,0.0013,4.6136,0.001,4.6165,0.0013,4.616,0.0012,4.6161,0.001,4.6138,0.001,4.6175,0.0012,4.6169,0.0011,4.4051,0.004,4.4148,0.0034,4.4067,0.0039,4.4087,0.0041,4.3713,0.0006,4.3711,0.0009,4.3732,0.0009,4.3732,0.0008,4.4088,0.0039,4.4149,0.0038,4.4117,0.0047,4.41,0.004,4.3763,0.001,4.3761,0.001,4.3765,0.0009,4.3754,0.0009,0.0095,0.0066,0.0088,0.0086,0.0031,0.002,0.0025,0.0023
model22,0.25,135,375,80,7.4698,241.79,11.385,211.832,3.6901,2.8833,9.8083,-0.5016,2.2932,1.6357,5.503,0.0061,422.73,409.0,103400,6022.74,48.748,3.8899,0.0004,0.0915,-0.0346,0.0336,-0.0332,0.0336,-0.076,0.0902,2.7358,2.7229,2.7013,2.7372,31.8369,31.839,31.8375,31.8373,9.5775,9.5751,9.577,9.5768,7.4565,7.4539,7.4568,7.4567,6.8174,6.8148,6.8178,6.8172,4.6151,0.0012,4.6113,0.001,4.6143,0.0012,4.6134,0.0012,4.6139,0.001,4.6119,0.001,4.6153,0.001,4.6148,0.001,4.4031,0.0041,4.4119,0.0035,4.4048,0.004,4.4065,0.0041,4.367,0.0007,4.3666,0.0009,4.369,0.0009,4.3688,0.0009,4.4081,0.0041,4.4126,0.0039,4.4101,0.0047,4.4089,0.0041,4.3721,0.0012,4.3717,0.0011,4.3721,0.001,4.3709,0.001,0.0101,0.0076,0.0096,0.0092,0.0032,0.0021,0.0028,0.0025
